,ground_truth,prediction
491,65.99999954551458,75.82390974834561
492,66.99999948590994,80.28648471832275
493,66.99999948590994,80.10478929802775
494,65.99999954551458,77.1712992079556
495,63.99999966472387,75.3186181820929
496,70.99999981746078,81.57125591300428
497,62.99999972432852,75.76484039798379
498,43.99999971687794,71.81904244795442
499,39.999999955296516,67.19506467878819
500,35.99999791383743,58.600076362490654
501,34.99999797344208,51.0732973664999
502,27.99999839067459,43.2563264220953
503,23.99999862909317,40.00253517925739
504,30.999998211860657,40.848137244582176
505,34.99999797344208,45.22649182379246
506,33.99999803304672,44.11320020258427
507,48.99999941885471,50.870454370975494
508,63.99999966472387,55.82369150221348
509,63.99999966472387,67.99743627384305
510,59.99999990314245,70.12848352268338
511,63.99999966472387,71.11802566424012
512,65.99999954551458,66.56211820244789
513,66.99999948590994,66.0302546620369
514,57.99999888241291,66.65368492901325
515,57.99999888241291,65.5063524544239
516,61.99999978393316,65.45512588322163
517,63.99999966472387,68.61113716289401
518,65.99999954551458,70.54777696356177
519,66.99999948590994,71.99822487309575
520,67.99999999627471,75.24716567620635
521,74.9999998640269,80.59574328362942
522,78.00000000582077,82.4438611343503
523,73.99999992363155,89.05963179469109
524,78.00000000582077,91.88456664979458
525,79.00000005308539,89.92366667091846
526,79.00000005308539,86.83370857685804
527,64.99999960511923,79.86605931818485
528,67.99999999627471,78.1350644826889
529,69.99999987706542,80.70116254687309
530,66.99999948590994,79.53067677468061
531,81.00000007636845,80.68430969119072
532,99.0000009983778,93.37593266367912
533,108.000000461936,113.46804536879063
534,117.00000220537186,117.86294502019882
535,114.00000010430813,124.92599233984947
536,119.00000208616257,131.46110662817955
537,125.0000017285347,134.01820373535156
538,127.00000160932541,145.9734946191311
539,129.00000149011612,144.86075016856194
540,131.00000137090683,144.14797377586365
541,124.00000178813934,139.99217173457146
542,133.00000125169754,134.39948591589928
543,142.00000071525574,132.7663821876049
544,123.00000184774399,121.82730573415756
545,102.00000081956387,109.14848655462265
546,89.00000045448542,97.42280443012714
547,83.00000024214387,94.95384739339352
548,82.0000000167638,91.95332092046738
549,81.00000007636845,81.53140108659863
550,70.99999981746078,76.68113121017814
551,60.99999984353781,75.25168895348907
552,73.99999992363155,75.19954815134406
553,88.00000051409006,80.11225133761764
554,106.00000058114529,98.25768195092678
555,154.0,115.96641510725021
556,154.0,140.50580993294716
557,154.0,148.27336224913597
558,154.0,148.34100165963173
559,154.0,148.2231183052063
560,154.0,159.9666222333908
561,154.0,159.70061522722244
562,154.0,157.19339728355408
563,154.0,165.93321710824966
564,154.0,166.51653748750687
565,154.0,166.06853240728378
566,154.0,147.6619355380535
567,154.0,147.67123287916183
568,154.0,147.63541144132614
569,154.0,147.16968259215355
570,154.0,153.7704208791256
571,154.0,158.41810196638107
572,154.0,157.9097439646721
573,154.0,158.06147438287735
574,154.0,157.84333568811417
575,154.0,158.5986956357956
576,154.0,144.19335702061653
577,153.00000005960464,144.30120435357094
578,154.0,143.69733771681786
579,154.0,143.66940465569496
580,154.0,143.92921495437622
581,154.0,143.6740054488182
582,154.0,143.9111127257347
583,154.0,143.90595108270645
584,154.0,143.8365652859211
585,154.0,143.82288601994514
586,154.0,145.44522416591644
587,154.0,148.05981066823006
588,154.0,148.1450051367283
589,154.0,147.9007709622383
590,154.0,147.67588382959366
591,154.0,147.6034019589424
592,154.0,156.99054288864136
593,153.00000005960464,136.7416498363018
594,121.00000196695328,104.90255410969257
595,118.00000214576721,92.3047344237566
596,106.00000058114529,91.49367478489876
597,89.00000045448542,96.79501731693745
598,88.00000051409006,82.61560716852546
599,70.99999981746078,71.86157584562898
600,56.999998942017555,57.24724027514458
601,48.99999941885471,47.47080339491367
602,52.999999180436134,41.73566626012325
603,47.99999947845936,43.665436789393425
604,43.99999971687794,35.253821313381195
605,27.99999839067459,29.03246834874153
606,26.999998450279236,25.36504802107811
607,25.99999850988388,25.95605158805847
608,34.99999797344208,30.742905527353287
609,21.99999874830246,27.456685304641724
610,26.999998450279236,24.437662184238434
611,18.999998927116394,21.612433224916458
612,17.99999898672104,21.153188347816467
613,19.99999886751175,19.114923000335693
614,19.99999886751175,18.339864909648895
615,13.999999225139618,19.061961442232132
616,11.999999344348907,19.080013513565063
617,15.999999105930328,19.677628725767136
618,18.999998927116394,18.028980791568756
619,11.999999344348907,16.811352849006653
620,5.999999701976776,16.152139902114868
621,6.999999642372131,15.215958297252655
622,12.999999284744263,16.876096814870834
623,14.999999165534973,21.005949288606644
624,20.999998807907104,19.673648059368134
625,16.999999046325684,17.034315764904022
626,16.999999046325684,17.130695313215256
627,14.999999165534973,13.069695144891739
628,14.999999165534973,8.644023984670639
629,8.999999523162842,14.726400166749954
630,1.0,11.985280454158783
631,6.999999642372131,11.839468598365784
632,12.999999284744263,12.33191305398941
633,12.999999284744263,12.897505104541779
634,12.999999284744263,10.594089984893799
635,9.999999463558197,9.651346892118454
636,16.999999046325684,15.738478899002075
637,21.99999874830246,20.28827115893364
638,15.999999105930328,27.077901870012283
639,17.99999898672104,33.10662341117859
640,13.999999225139618,32.986446499824524
641,24.999998569488525,36.102843195199966
642,25.99999850988388,35.82051682472229
643,33.99999803304672,36.5497220158577
644,17.99999898672104,36.597845673561096
645,18.999998927116394,35.85171923041344
646,30.999998211860657,38.871727257966995
647,34.99999797344208,41.492125168442726
648,32.99999809265137,42.84571133553982
649,32.99999809265137,44.023879155516624
650,39.999999955296516,44.88833124935627
651,34.99999797344208,48.975545451045036
652,46.999999538064,55.70150829851627
653,45.99999959766865,56.862323969602585
654,45.99999959766865,53.244436264038086
655,51.99999924004078,54.43136565387249
656,47.99999947845936,60.24032750725746
657,54.999999061226845,62.2030513882637
658,55.9999990016222,62.030444130301476
659,57.99999888241291,60.43969824910164
660,52.999999180436134,62.82121969759464
661,46.999999538064,63.74085395038128
662,50.999999299645424,50.454575046896935
663,45.99999959766865,50.60743400454521
664,39.999999955296516,41.788062408566475
665,23.99999862909317,26.326887369155884
666,13.999999225139618,12.02925929427147
667,4.999999761581421,5.691491216421127
668,9.999999463558197,4.293114572763443
669,9.999999463558197,5.3211478888988495
670,12.999999284744263,3.905471533536911
671,6.999999642372131,3.8148418366909027
672,5.4999997317790985,13.098015785217285
673,3.9999998211860657,13.384664803743362
674,9.999999463558197,13.572950780391693
675,9.999999463558197,13.654971659183502
676,9.999999463558197,13.452486604452133
677,7.999999582767487,13.57931163907051
678,4.999999761581421,13.593911975622177
679,4.999999761581421,13.663375288248062
680,4.999999761581421,13.453922927379608
681,6.999999642372131,13.826450377702713
682,8.999999523162842,13.542847275733948
683,5.999999701976776,14.071865528821945
684,5.999999701976776,13.32299867272377
685,3.9999998211860657,13.311074912548065
686,6.999999642372131,13.192065298557281
687,6.999999642372131,14.186233311891556
688,5.999999701976776,7.877519994974136
689,1.0,6.350321143865585
690,1.9999999403953552,6.40024134516716
691,2.9999998807907104,4.9327296912670135
692,5.999999701976776,5.4499609768390656
693,4.999999761581421,13.70385679602623
694,8.999999523162842,14.151725083589554
695,4.999999761581421,13.97884652018547
696,4.999999761581421,14.032136380672455
697,2.9999998807907104,13.399602562189102
698,6.999999642372131,8.505763083696365
699,1.9999999403953552,4.520764917135239
700,3.9999998211860657,4.872577399015427
701,1.9999999403953552,4.176932007074356
702,2.9999998807907104,5.024207502603531
703,3.9999998211860657,4.655305057764053
704,1.9999999403953552,14.294322311878204
705,3.9999998211860657,14.942058354616165
706,6.999999642372131,14.898202627897263
707,5.999999701976776,14.953530699014664
708,7.999999582767487,15.250762909650803
709,6.999999642372131,15.119701862335205
710,5.999999701976776,14.679425567388535
711,4.999999761581421,15.183793783187866
712,2.9999998807907104,14.603984415531158
713,2.9999998807907104,14.514891356229782
714,1.0,13.44489461183548
715,2.9999998807907104,12.477688431739807
716,3.9999998211860657,12.151424258947372
717,1.9999999403953552,12.952468395233154
718,2.9999998807907104,13.337521493434906
719,6.999999642372131,12.718343198299408
720,2.9999998807907104,4.89288654923439
721,4.999999761581421,4.992325693368912
722,3.9999998211860657,3.4056858718395233
723,10.999999403953552,4.28187021613121
724,3.9999998211860657,5.5517347157001495
725,11.999999344348907,13.675951093435287
726,8.999999523162842,12.825041472911835
727,3.9999998211860657,13.045569479465485
728,6.999999642372131,14.153134047985077
729,6.999999642372131,17.485895693302155
730,23.99999862909317,20.14800852537155
731,28.999998331069946,27.911197155714035
732,26.999998450279236,32.84076687693596
733,26.999998450279236,34.86823928356171
734,33.99999803304672,39.26461173593998
735,41.99999983608723,43.27312456071377
736,47.99999947845936,44.760179325938225
737,53.99999912083149,50.04865650832653
738,51.99999924004078,49.727038726210594
739,49.99999935925007,47.24620580673218
740,57.99999888241291,44.36594744026661
741,56.999998942017555,42.65555129945278
742,45.99999959766865,35.45741894841194
743,26.999998450279236,29.58017247915268
744,35.99999791383743,29.145272135734558
745,23.99999862909317,24.58133551478386
746,19.99999886751175,21.153046995401382
747,22.999998688697815,19.297071546316147
748,25.99999850988388,21.36655753850937
749,43.99999971687794,33.99578481912613
750,53.99999912083149,45.87608824670315
751,79.00000005308539,69.14990075305104
752,75.99999994691461,79.9253988340497
753,82.0000000167638,81.90029184706509
754,95.00000009685755,89.45039028674364
755,96.0000000372529,82.58751508593559
756,80.0000001359731,76.3710769675672
757,84.00000018253922,78.39366530627012
758,73.99999992363155,68.26128423586488
759,75.99999994691461,69.53080561384559
760,51.99999924004078,68.02051889523864
761,50.999999299645424,67.19777773320675
762,60.99999984353781,64.01695397496223
763,57.99999888241291,65.89076718688011
764,51.99999924004078,52.700489372015
765,44.99999965727329,48.559629648923874
766,44.99999965727329,47.32617251574993
767,42.99999977648258,45.51699383556843
768,43.99999971687794,43.96727891266346
769,40.99999989569187,48.05644924938679
770,47.99999947845936,47.494687393307686
771,56.999998942017555,50.2165170609951
772,57.99999888241291,55.42833335697651
773,59.99999990314245,56.594650372862816
774,60.99999984353781,60.168882980942726
